CODEASSU,AGE,VILLE,PROFESSION,PRIMTOTALE
2366,26,10,4,58513
2048,25,12,0,41430
2404,41,31,15,28000
1341,48,30,32,81228
2352,34,19,23,35545
2433,65,1,16,58001
2192,25,12,0,18224
1055,60,28,10,30007
1039,25,9,1,14844
2272,34,5,32,20000
1173,51,23,18,135000
1471,56,3,27,100031
2465,42,2,16,83735
2096,42,30,6,84574
1702,63,11,5,89291
2308,53,16,12,27000
2198,66,6,32,61547
2471,44,16,4,142783
1435,70,17,23,369924
1541,58,23,7,113092
1706,62,2,4,76981
1707,67,22,11,134263
1708,62,7,8,26589
1623,67,20,9,26638
1624,52,8,26,17814
1625,54,20,17,21482
1626,44,11,12,26339
1627,62,31,28,164267
1906,52,10,1,85924
1907,33,4,15,21482
1908,58,12,17,266453
1911,68,1,23,320000
1914,51,6,8,26638
1915,48,19,6,55586
1916,45,5,1,626571
1917,43,23,23,103850
1986,56,11,5,89099
1987,70,1,4,72588
1988,32,25,27,90072
1990,41,1,15,86422
1993,58,19,16,24800
1856,69,9,23,13670
2088,30,13,7,66260
1976,54,5,23,66260
1245,45,0,14,1593095
2455,47,26,15,58349
1205,30,7,19,16675
1666,27,3,8,80000
1553,38,16,3,140211
1901,25,16,9,47032
2403,64,0,21,112495
1997,60,1,8,31983
1362,29,18,2,30000
1268,33,17,13,29000
2445,61,17,4,14844
2277,42,6,10,15121
1281,52,13,1,43648
1351,44,30,23,24730
1267,32,16,24,215916
1550,32,0,16,162579
1604,26,13,12,26339
1841,46,9,0,17725
1097,56,15,9,113092
1008,31,28,3,21970
1811,61,9,16,35000
1397,50,17,14,85102
1714,36,7,4,106167
1528,59,23,23,651952
1615,36,7,0,21482
1133,47,27,21,126950
2304,33,24,24,114881
1018,26,29,4,17814
1609,54,17,30,21860
1487,61,14,3,26000
2241,67,28,31,44690
1359,48,13,21,95700
2232,39,7,12,26339
2175,70,3,23,87316
1011,61,9,18,343998
1067,59,8,15,90000
1535,70,18,23,16402
2367,55,14,20,24817
1185,50,26,31,180456
2033,67,8,3,250387
2042,30,28,17,75204
2108,46,10,32,17085
2267,35,2,20,121036
1484,58,7,19,38684
1066,36,2,15,3500800
1244,35,12,21,3500800
1317,55,4,21,34155
2291,65,7,27,103706
1025,29,2,15,117459
2373,45,24,8,47566
1176,51,6,9,65178
2312,36,17,27,130009
1495,51,0,3,26652
1220,49,15,8,31000
1978,63,2,12,86468
1145,63,21,32,116000
1285,30,2,16,113390
1957,58,23,16,21562
1064,54,2,9,80114
1686,37,13,2,85000
1586,36,20,0,20778
2133,42,31,21,29023
1624,52,8,26,80646
2358,42,5,12,75000
1509,54,9,7,84034
1707,67,22,11,81780
1140,35,13,23,1552600
1421,44,3,14,12795
1388,67,24,25,457248
1450,47,29,21,86478
1456,25,18,26,21482
1444,64,27,5,21860
1725,35,3,5,77000
1726,33,15,0,93183
1512,62,28,8,89291
1690,42,2,19,55586
1727,34,11,0,117959
1316,50,1,14,20778
1469,29,22,16,26950
1694,31,9,8,92170
1114,35,24,8,21860
1692,41,26,29,33487
1693,52,16,22,22200
1206,55,19,20,15143
1272,33,1,8,21989
1503,42,28,16,75383
1615,36,7,0,32003
1616,40,7,18,66559
1617,58,0,30,16551
1614,31,30,16,84036
1298,65,10,12,17085
1739,68,27,32,21482
2029,55,1,4,115001
1319,69,30,26,18000
1320,41,10,0,21860
1150,36,25,0,95000
1427,70,28,27,16060
1252,33,4,9,16018
1251,45,26,3,38088
1531,67,25,23,8573148
1659,61,28,2,76278
1658,32,13,0,24800
1541,58,23,7,123727
1447,67,26,12,21860
1782,41,29,18,24519
1783,33,19,32,84500
1886,56,19,11,20073
1826,52,27,0,21989
1972,61,30,17,86552
1973,69,12,32,21780
1974,45,15,15,21860
1975,46,10,23,21860
1919,57,11,25,127273
1934,64,30,16,15143
1802,29,9,17,53588
1804,31,7,16,16104
1807,38,18,23,16104
1943,61,18,31,66500
1764,69,30,22,17384
1757,69,7,21,81983
1946,26,21,18,30001
1775,29,1,23,78074
1778,46,10,4,62000
1779,42,0,16,32665
1832,29,23,25,15026
1836,54,9,17,25720
1951,40,8,26,169485
3462,44,18,16,62052
1497,40,10,14,21183
1037,35,25,17,26339
1296,58,9,22,176445
1524,37,26,1,14844
1146,25,26,4,89809
1802,29,9,17,18000
2307,26,20,32,19493
1444,64,27,5,26339
1051,57,17,24,115000
1190,25,21,9,63904
2082,39,0,0,94112
1467,36,23,4,20479
1775,29,1,23,26339
1698,36,19,8,77179
1060,38,8,4,2546636
1555,50,28,0,21281
2104,53,30,3,95000
1361,44,31,21,20027
1915,48,19,6,31009
1371,46,22,22,2600093
2226,33,16,8,66260
1249,32,18,23,109066
1980,34,17,16,20000
1743,63,27,27,75042
1141,44,31,27,75056
1790,27,3,31,20479
1439,41,14,4,102396
2026,41,25,26,14844
1094,31,25,1,105435
1735,70,1,0,21183
1480,44,22,18,74124
1092,53,27,26,20479
1462,68,18,12,103850
1111,34,10,25,21482
1591,31,16,23,21482
1502,51,22,26,116541
1566,53,22,27,36316
1227,30,20,23,269136
1162,28,22,27,85000
1935,64,16,9,226093
1365,57,8,11,657495
1277,64,13,1,114297
1532,46,10,16,17814
1253,69,9,24,34083
1255,67,22,13,21482
1722,56,29,16,180168
1219,50,20,32,21482
1960,43,8,0,141794
1751,48,2,2,-98210
1752,59,18,7,25720
3420,38,13,29,20000
2652,57,11,23,16317
2599,28,21,4,200467
4878,29,9,17,71806
3056,27,25,6,42975
2717,31,15,23,123557
2584,30,26,22,32282
4434,34,1,3,80646
4483,60,16,30,28739
4163,27,13,21,115773
2854,51,26,0,22037
4638,60,2,23,30002
4945,31,6,28,111710
3431,69,20,1,76981
3901,65,25,0,153956
4063,41,31,9,25000
3052,57,26,8,15143
2949,31,27,13,108658
3442,63,17,16,1492831
4901,65,17,30,23649
3033,69,1,32,17500
4527,69,5,10,35000
3508,70,21,15,27053
4009,50,27,9,20975
3335,62,28,12,285011
3513,64,1,27,56638
4642,26,28,18,89708
4076,59,9,23,50220
2620,49,16,30,120000
3557,40,17,12,115773
2560,53,0,0,16450
2631,69,1,31,66559
2956,64,23,4,107279
3071,32,6,22,153023
4849,26,24,0,85000
4942,37,23,13,123481
4997,35,7,12,115771
2732,49,28,15,15623
3531,34,2,15,85000
3876,43,9,24,23649
4091,34,18,30,-62222
2858,49,6,21,17000
4191,40,1,17,100000
3047,57,24,26,60346
4788,39,14,26,25000
4056,31,9,26,92125
3976,25,29,3,172587
3587,35,0,26,83251
2582,44,1,25,22038
3266,56,9,0,100027
3914,55,1,29,98043
4406,56,2,23,20140
2855,68,3,0,84093
3802,56,1,8,89448
4911,46,7,11,33487
2552,54,4,26,21482
3104,62,21,0,19791
3625,59,4,9,31495
3620,70,1,10,116371
4455,66,28,16,79598
4506,48,12,24,17500
2642,27,9,3,187753
2994,25,4,1,25000
3940,63,9,1,115000
2937,33,30,32,134559
4936,60,23,13,1173025
7672,66,31,16,28000
6121,25,29,16,15143
3682,69,1,16,111903
7147,58,29,25,85000
8385,64,11,22,33598
6606,31,14,16,105084
5087,39,2,8,112794
6755,34,17,15,16317
7287,36,26,12,91871
8422,38,4,16,17500
8421,29,3,1,20000
8368,60,4,15,62774
6771,58,11,16,28427
8444,52,7,29,17500
5361,65,15,13,87615
6180,36,28,8,122240
5229,40,3,15,-245001
8399,56,1,22,23649
6519,42,17,13,42721
7299,55,13,6,89590
7449,60,16,8,81775
5420,64,26,4,16700
5969,68,30,1,83000
5764,64,16,5,87794
5508,49,25,6,15143
6040,63,1,8,35893
6802,58,1,29,118757
5196,62,22,31,29685
7969,47,24,14,22078
6935,43,11,26,74193
6051,42,15,16,8334
5647,59,7,13,101515
7787,54,11,20,112795
7978,53,0,7,115000
5593,66,20,8,106536
6808,57,24,5,175971
7619,65,8,6,78957
7793,52,0,26,27500
6283,46,13,16,26735
5740,41,8,17,92467
6423,69,0,24,23000
6799,69,30,32,115000
5810,46,21,17,51546
7404,42,7,5,17500
2409,69,20,4,54229
1207,58,26,25,30972
1771,45,27,17,13670
1468,35,14,27,146561
1697,37,1,28,32366
1193,32,12,3,89291
1122,43,24,9,117000
1279,54,15,8,19493
1063,51,28,15,17762
1754,60,19,5,80347
2347,31,30,29,69208
1990,41,1,15,48400
1920,66,3,23,98887
1998,48,19,23,112495
1994,61,2,9,90010
1065,44,12,9,222798
1350,53,29,3,84221
1520,60,20,17,24884
2137,28,16,31,130009
1469,29,22,16,77168
1973,69,12,32,97483
2022,26,26,22,115098
1105,40,20,32,60062
1903,56,12,4,21780
2107,61,14,16,18225
2052,36,28,31,144426
1769,54,13,26,20090
1491,27,28,27,16151
1831,69,22,29,35000
1458,64,26,17,129955
2407,38,23,17,97398
2402,39,7,12,35244
1782,41,29,18,21690
1300,48,0,9,67457
1392,25,28,11,1012865
2059,45,22,15,107036
1695,27,8,16,33966
2155,62,17,17,365869
1372,26,15,32,74008
1607,60,14,0,129492
1409,44,22,4,19493
1213,67,18,3,-28400
2271,66,26,32,120000
2092,50,31,10,59550
2362,34,24,3,21183
2128,47,13,21,21183
1211,41,26,14,135779
2214,35,15,21,52878
1062,57,25,26,132000
2135,67,25,2,89631
2044,46,30,16,162984
2006,28,16,32,19792
1150,36,25,0,91871
1408,53,27,24,88800
1878,56,1,17,107264
2439,63,1,8,144149
2420,69,30,12,117459
1680,58,5,14,145466
1381,25,28,23,169637
1415,65,24,23,21183
1040,65,11,8,12496
1036,59,19,0,125879
2408,30,30,8,141582
2280,27,4,17,124832
2290,52,10,2,15143
2062,70,2,18,75503
1038,65,25,15,50000
2089,39,14,24,65000
1562,54,19,8,21482
1195,44,6,12,83251
1234,45,25,2,83805
1511,41,13,31,74307
1259,60,29,11,25300
1403,43,11,13,58812
1268,33,17,13,3500800
1685,43,11,1,85000
1223,37,22,26,419863
1404,47,1,7,28428
1000,47,14,21,12795
1448,66,26,14,91871
1459,52,26,16,20000
1440,27,12,9,94695
1498,61,7,24,120036
1500,40,12,1,76254
1611,41,13,21,91056
1040,65,11,8,99219
1340,70,17,1,117794
1641,52,10,26,1805137
1521,41,24,17,128460
1099,64,27,22,17384
1315,31,23,16,26339
1328,49,12,24,130686
1244,35,12,21,21464
1184,26,28,14,98196
1318,47,12,22,67236
1665,36,29,7,19792
1470,38,6,21,70187
1471,56,3,27,107831
1245,45,0,14,15143
1379,50,6,8,65069
1329,57,9,23,160000
1147,40,27,8,95000
1504,51,17,2,475710
1643,32,9,16,19791
1717,50,12,4,25000
1452,44,9,0,107500
2177,46,20,32,86123
1475,65,18,23,90430
1495,51,0,3,34953
1303,58,10,26,18859
1304,39,6,8,18859
1392,25,28,11,65033
1191,48,28,24,163803
1055,60,28,10,113000
1853,60,19,15,26500
1217,28,20,12,77478
1218,42,26,28,16317
1193,32,12,3,91871
1131,62,18,14,23271
1080,28,8,27,155351
1081,64,19,2,99444
1260,70,21,32,38546
1681,47,24,8,101027
1350,53,29,3,89590
1602,34,29,0,117758
1352,46,7,5,24222
1508,39,25,0,21860
1025,29,2,15,77533
1084,49,22,11,21482
1646,26,1,12,-45616
1606,58,24,16,26638
1605,28,10,5,55586
1367,49,3,1,66559
1426,40,2,32,60752
1004,42,5,30,255669
1743,63,27,27,81782
1925,47,10,11,156979
1904,45,22,26,114999
1940,28,14,23,91871
1981,38,31,9,1000
1747,29,11,17,63000
1756,45,30,32,128684
1829,56,19,11,89590
1758,29,22,11,117488
1763,53,21,28,255036
1772,37,22,4,33709
1874,57,23,15,120441
1875,32,10,21,21482
1876,63,1,32,17814
1834,45,1,0,296936
1887,65,6,4,80504
1842,63,1,0,89590
1843,42,27,26,28000
1845,63,5,8,75355
1846,69,1,26,25417
1847,52,17,11,80646
1985,32,11,23,63613
1851,51,23,32,138508
1994,61,2,9,55000
4491,47,8,3,25000
3959,51,1,14,115773
3264,52,15,28,27032
3316,35,5,17,16317
3464,45,1,23,39964
2671,57,30,3,84036
3065,51,4,22,17384
3063,38,6,4,73296
2604,44,25,26,175000
3860,52,29,3,42000
4170,28,20,19,127273
2818,66,17,6,290000
4640,66,26,17,26638
4332,50,31,31,76745
4769,54,22,12,42979
4670,51,19,26,14000
3913,62,15,23,120000
3273,57,16,17,61054
3223,31,15,12,38303
3681,38,7,8,69377
4773,58,24,8,1011522
4097,50,30,9,23097
2562,51,11,0,176453
2599,28,21,4,12795
4843,26,19,19,28000
4736,44,19,1,296936
4650,45,12,12,23649
3170,49,11,32,87615
3650,34,30,32,89143
4606,27,23,4,93924
3515,33,25,2,25000
2622,44,1,25,27999
2556,48,0,12,73427
2551,35,1,18,291469
4258,30,23,4,116371
4674,51,19,7,35021
4209,59,7,0,529466
2821,49,6,8,84036
3436,45,13,3,137169
3198,67,22,4,17814
2664,53,0,23,182001
4119,63,19,18,93924
3235,31,31,23,37391
3249,30,20,16,16317
3629,57,7,22,50220
3807,50,17,16,280842
2914,43,2,24,35000
2915,46,23,22,21482
3261,70,10,0,39964
3778,43,13,15,86478
4270,53,20,32,20778
4960,38,25,4,980520
2749,36,31,21,230319
4687,34,31,32,121188
3435,56,29,23,767557
4969,34,16,22,190000
4792,28,1,4,45000
2914,43,2,24,21482
3531,34,2,15,16000
4881,38,30,8,23096
4380,55,31,26,131135
3341,54,15,0,97628
4176,57,8,28,54779
3643,68,29,29,28739
2541,58,24,18,96082
3836,67,22,12,89590
2939,54,9,26,240000
4607,31,14,22,69377
3277,63,4,32,105549
4317,62,28,3,104050
3161,41,6,1,26638
4259,45,1,23,50220
4200,53,26,0,90000
3708,64,3,0,112425
3014,28,20,5,17980
2585,37,1,1,17814
3777,61,31,28,41965
2611,48,28,5,84036
4254,65,22,9,20073
2696,64,31,20,30097
3443,32,0,12,17000
2735,26,7,3,151682
2616,47,1,2,80646
2930,34,5,4,98045
2618,50,16,8,28427
3208,62,24,17,0
4473,25,12,3,23778
4255,64,31,14,28427
4427,53,14,30,36500
3072,37,17,14,25000
3404,44,20,26,200023
2905,70,17,23,83251
4819,31,1,3,14000
3282,57,15,13,95000
3763,34,6,16,20778
3766,41,0,32,92467
2959,47,29,15,144448
3070,39,20,22,23649
4551,45,17,27,42500
3746,44,14,17,32665
3756,48,28,28,115773
2614,27,20,21,399103
3330,60,0,8,21482
4531,70,1,8,60136
4753,51,29,2,89644
2795,58,1,9,41965
3101,44,25,8,89143
4552,48,19,22,63560
4605,60,2,4,41965
2713,68,30,9,26638
4857,39,4,31,22016
3880,56,31,23,20000
2703,34,4,12,39964
4327,46,18,28,28739
3505,66,22,3,95344
4528,40,19,18,20073
4512,28,26,30,31078
4814,69,27,19,107347
4013,28,0,23,30501
4356,32,6,8,221233
4282,30,6,32,17768
4205,70,5,23,139913
3536,64,29,8,23282
3006,60,8,23,18175
3005,31,4,4,27000
2705,68,20,8,176453
4090,27,2,1,17006
3332,37,5,23,62065
3146,59,14,12,73039
4277,68,10,1,91871
4609,54,8,23,67334
3046,51,12,4,93209
2736,44,17,16,78957
4562,38,30,7,21581
3151,62,31,13,29089
2727,36,0,4,100001
4958,67,24,12,17768
4439,41,3,5,69377
3784,43,23,21,22078
4965,62,28,8,749514
3260,68,7,8,28427
4440,28,25,14,91871
3522,64,3,8,140000
2880,45,17,1,144534
4967,62,0,28,89590
3595,38,1,27,17384
3965,44,20,3,76453
2970,49,31,24,91871
3824,60,2,4,110468
4389,70,13,23,15143
4971,42,10,1,139909
2684,49,26,11,83268
4493,38,26,19,37000
3380,31,3,15,84259
2702,67,24,9,103000
2738,56,30,3,94695
2671,57,30,3,36978
3599,33,11,24,65546
4576,42,18,0,32008
2638,47,13,14,98145
3582,70,1,25,91871
3581,29,1,1,140000
4974,55,9,29,14016201
4801,60,25,3,98045
4802,50,28,21,22050465
4271,49,17,26,25720
4721,51,11,2,43364
3073,62,23,16,605198
3733,62,16,32,20778
4831,34,7,15,32013
3533,66,10,15,17500
2520,55,21,12,89590
4272,37,6,16,31500
2641,69,10,5,30032
4676,56,14,6,29000
3047,57,24,26,25183
3877,66,14,14,81437
5985,35,8,17,28427
3642,67,8,27,100000
3045,33,25,23,98335
2925,26,21,4,36500
2518,62,30,16,158538
3247,50,26,17,123558
3879,32,21,32,196035
3386,70,1,23,215964
3551,40,27,4,176069
4576,42,18,0,58411
4302,53,1,22,16000
4349,55,13,8,105549
3499,49,9,26,30155
3178,56,31,0,91871
3698,36,15,15,53500
5746,51,7,16,186197
7666,38,29,23,112425
3523,34,1,21,42979
3506,64,7,32,91871
6208,40,8,8,25000
5328,47,7,3,38387
5870,45,29,0,136745
6643,26,8,24,115379
7256,34,15,22,105000
5835,66,19,24,42124
6470,55,4,1,147757
5330,68,10,17,23649
8303,63,7,2,23627
5035,57,16,21,112425
6815,46,25,9,23271
5902,53,29,2,1392024
6441,53,4,4,6151579
5973,70,17,25,69507
8351,61,9,23,21000
8048,48,27,5,88054
6562,52,28,1,104440
8310,40,1,14,85000
7865,62,31,20,87827
5404,67,28,8,17384
7525,53,19,27,64141
7730,66,17,16,91871
6374,52,29,0,12795
8114,58,27,9,67493
5804,33,1,17,-75993
5802,46,16,31,22500
5644,34,4,22,58812
7628,45,6,1,75503
7816,40,30,0,29000
6262,30,0,27,176345
6595,28,29,12,116103
5757,53,3,9,1691199
6365,40,3,9,85467
8276,55,28,0,89590
5192,40,1,4,66559
5040,37,26,8,55738
8253,49,24,1,145290
6155,69,28,1,123105
7953,63,6,0,78074
5860,48,18,23,101258
5884,43,30,16,7683428
7931,54,28,28,29089
5224,53,5,0,62073
6361,61,15,16,20000
5997,52,4,27,82000
7529,59,29,14,118532
5502,28,12,15,36012
5599,37,16,22,98043
8006,64,15,8,243497
7297,44,22,21,30001
7629,58,27,12,27300
8376,63,1,22,90000
6743,29,2,9,143003
5067,42,18,8,121738
5721,62,0,3,66166
7226,42,16,9,15000
7689,25,13,14,62000
6448,40,11,12,297899
7513,42,4,27,89590
8223,48,2,20,220000
7217,69,12,16,91871
5374,62,4,30,40286
6458,64,24,22,89888
8161,45,13,17,23271
6387,38,14,27,213200
6346,68,8,18,48699
8472,56,31,8,139174
7404,42,7,5,945079
7916,43,3,23,478651
8402,44,12,8,417314
8471,47,15,15,67000
6456,51,5,31,20000
7234,41,0,15,55100
5416,25,14,23,16104
6915,36,8,0,14000
7576,47,21,14,55211
7445,68,27,32,148468
7446,41,6,28,147000
7175,66,0,27,81242
6922,57,18,4,81242
5277,36,14,1,287194
5488,35,24,31,22799
5748,62,11,15,26001
7176,60,0,23,67930
7177,54,27,5,49892
5120,51,15,27,130000
5121,50,1,12,257716
6720,28,12,15,160257
7178,64,30,27,57202
7179,35,25,16,84037
6988,70,8,8,17980
5493,36,6,13,106000
5492,58,20,20,61000
6476,51,12,12,22500
5498,65,28,10,16001
7763,31,13,23,112022
7764,54,28,32,138508
5690,42,29,27,117500
7765,26,19,0,89590
7331,66,5,9,17814
6597,64,3,18,17384
7454,40,25,25,87651
6908,48,4,19,91871
6935,43,11,26,110000
7309,63,21,18,89253
7000,54,17,0,402254
7053,34,9,21,94411
6781,56,11,16,103464
6849,45,21,8,29023
6977,35,28,28,66001
7769,44,28,27,151271
5488,35,24,31,20073
6147,59,23,32,84632
7713,50,28,4,86467
7006,40,2,21,36000
5430,57,23,8,65381
7720,33,19,24,92467
5423,62,17,0,51000
7007,68,22,18,37500
5292,67,1,12,207824
7203,26,4,16,117500
6856,33,17,1,17384
5052,44,23,9,981752
5769,65,20,27,120000
6403,59,17,16,20669
5365,53,8,28,18000
6603,41,18,32,105549
5847,70,4,27,89590
6041,52,8,16,299983
6863,61,11,26,322133
6864,35,30,30,88710
7967,56,31,15,52304
7535,36,27,12,17500
7536,40,18,16,131787
5063,33,1,17,80646
8465,56,8,3,169637
6202,31,6,9,27546
6604,49,22,12,23649
6271,32,1,19,68369
5850,52,14,30,85000
7727,70,25,32,78498
7932,65,16,23,91844
5080,61,7,14,27234
6425,41,4,8,94519
5218,55,17,14,756491
5854,62,20,18,145844
7668,58,6,16,143649
5442,34,6,15,104446
5377,38,14,14,19120
7595,51,0,22,81242
7596,29,9,0,163439
7598,35,12,23,24374
5912,25,10,0,29685
6044,51,21,26,92467
5978,61,30,9,100988
5578,32,22,31,42000
5220,58,11,22,215000
5223,43,7,15,103464
7393,52,12,27,81100
7734,70,18,8,14000
7395,27,0,8,1414724
6223,43,26,8,4578
7606,26,20,17,81242
7918,30,22,14,91871
7979,42,18,14,105000
7982,26,23,25,25000
7107,39,10,22,20000
7992,45,1,16,94695
8038,35,12,14,55332
6006,50,28,0,2300125
7650,47,21,22,138500
5660,37,26,8,58000
7800,43,12,8,82281
6121,25,29,16,17980
6308,46,26,24,60346
5916,54,3,27,135409
6131,41,11,4,58812
5857,60,26,8,81979
7482,55,14,1,24374
7613,31,22,21,70002
5378,64,26,8,68887
5594,41,2,26,96018
5934,28,12,17,91871
6542,40,17,24,48000
6157,70,13,23,36123
7488,33,14,4,87074
7064,34,16,27,143705
6812,61,8,21,116103
5725,47,0,0,23649
6462,28,23,24,15143
5938,33,21,22,89590
7794,67,30,31,28000
7621,52,13,8,265000
6418,40,11,7,28000
5732,48,11,22,45000
6000,32,14,22,90186
6166,68,22,15,106145
6168,63,26,16,39000
5797,27,23,4,83251
6169,60,23,8,-38955
5739,31,13,8,89595
6429,30,24,2,113390
5808,56,11,32,18000
5606,59,20,0,84000
5607,32,27,11,114577
7016,28,11,23,76462
5608,54,29,14,81053
5263,69,31,8,38983
5874,36,18,3,84037
7351,45,4,15,85601
7352,43,30,9,67155
5395,33,20,31,22633
5520,35,29,15,115773
5265,37,7,0,22078
7815,31,25,14,25000
5876,44,15,9,73812
5743,60,11,0,92467
7497,66,12,14,90044
6287,54,2,16,65934
7496,58,1,14,46416
7501,68,21,17,17500
6397,30,30,22,25000
5535,68,25,5,15143
8060,27,5,4,15000
6218,46,26,8,37493
5282,34,18,0,84036
6251,38,11,27,18000
7319,62,21,8,6412072
7842,59,17,3,25720
7397,31,19,25,140508
6969,35,14,1,86415
7136,37,15,16,66005
5257,28,30,3,30336
7751,56,16,18,100310
8295,31,13,27,128684
5306,54,26,8,86422
5544,55,24,15,105549
7756,57,10,25,90000
7757,59,10,8,85000
7821,69,9,4,37000
8116,67,31,30,176445
7430,42,4,11,23649
7847,27,3,27,186410
6352,36,23,30,131565
5061,40,27,27,169914
5234,66,27,8,116447
7944,28,13,25,30000
7083,69,14,17,26131
5032,58,17,21,115551
5092,41,5,8,103464
7885,70,26,21,27234
6691,33,1,14,5366
5104,69,13,9,20073
6693,38,16,12,23649
5111,59,15,18,101137
6363,48,28,9,80459
5178,32,8,0,90304
7156,41,27,31,106145
6702,48,31,30,31000
5186,52,29,0,63200
7954,31,23,31,39478
6715,56,21,9,36261
6825,26,22,17,77439
6831,68,5,17,23163
6832,68,2,21,91178
6833,61,23,0,616988
5550,69,28,6,113390
6905,67,13,29,115232
5344,50,8,16,79267
5346,39,28,8,77478
5483,50,26,28,15144
5617,52,11,12,290000
7300,56,29,23,265000
6379,49,1,26,39500
6381,56,23,0,111184
6383,25,28,8,23867
7112,70,29,25,56000
6090,46,26,12,265000
7212,29,18,6,42561
6497,50,14,17,25000
6501,27,24,29,39997
6502,39,10,11,172429
6505,29,25,12,17814
6506,50,18,22,107279
6514,49,5,8,21482
7416,69,9,15,135255
6626,68,20,30,21000
6632,47,3,27,79863
6639,35,5,8,32878
6643,26,8,24,35000
8001,41,30,23,-45624
8314,52,5,0,100000
8067,64,12,21,81055
8290,36,31,21,27234
8261,64,29,8,10982
8317,58,16,16,1068121
8076,46,0,11,145969
8060,27,5,4,84261
8294,27,16,27,122919
8108,54,15,12,92467
8145,45,16,23,26561
8181,57,7,4,36000
8289,31,15,19,1457141
2074,68,18,8,89590
2489,57,30,0,20479
1210,29,1,17,21183
2269,39,9,25,66260
1053,30,1,26,93609
1770,54,10,8,21183
2299,28,5,15,81684
2400,70,26,16,230151
1819,59,16,4,21780
2368,55,10,3,66260
2230,55,26,8,169075
1830,68,8,23,91826
1242,57,17,0,68737
1453,29,26,22,97788
2297,28,17,32,21100
2262,53,27,15,129453
1720,58,29,4,91572
2211,28,9,16,122026
1548,70,6,13,99415
1972,61,30,17,91572
2355,39,2,23,25167
2317,67,2,27,220000
1134,55,30,32,14844
1112,67,11,28,26936
1584,50,3,15,8905359
1870,60,26,20,91572
1931,32,20,12,87316
2063,50,17,14,24220
1641,52,10,26,26339
2138,32,14,5,55588
1327,60,29,1,176445
1858,40,31,0,69078
1926,46,10,17,89291
2475,54,2,21,81680
2318,29,19,23,119020
1508,39,25,0,66260
1946,26,21,18,105878
1557,66,19,20,53664
1225,32,17,26,74008
2017,34,7,4,77460
2072,57,6,23,21183
1523,41,3,26,31009
1682,50,24,27,16450
1307,43,12,8,24817
1234,45,25,2,315209
1383,65,6,16,21482
1385,50,1,1,29857
1497,40,10,14,27234
1369,47,25,1,24232
1684,43,2,21,23271
1293,45,3,31,16104
1009,53,28,4,115474
1181,26,15,8,53177
1525,43,27,1,33188
1526,49,6,15,21183
1297,61,24,29,19493
1165,57,3,16,26000
1246,32,23,16,142000
1127,46,24,7,38546
1324,64,24,4,26950
1732,45,8,13,24519
1056,36,11,8,32334
1362,29,18,2,19493
1400,30,30,27,12795
1476,35,29,0,24598
1696,41,31,5,120024
1278,40,25,18,42979
1419,63,27,15,103850
1085,39,3,4,279079
1721,57,6,16,73081
1455,64,2,27,20000
1105,40,20,32,64141
1282,56,27,8,21482
1283,69,21,3,7223096
1791,66,31,14,23778
1795,40,10,15,370748
1978,63,2,12,94188
1755,35,2,8,22567
1770,54,10,8,23669
1776,47,28,3,84036
1830,68,8,23,31000
1885,62,10,5,73563
3825,61,23,16,13969
4798,65,6,8,111973
2681,32,20,8,20365
4712,29,12,28,144363
4216,53,3,16,84036
2741,65,16,27,12795
3586,38,29,25,13969
4615,66,12,3,104050
2692,66,24,4,112794
3305,61,17,23,53000
2669,29,5,10,120000
4966,45,20,23,65000
4175,44,7,6,83251
3675,42,19,1,-23969
4652,50,4,0,23649
4600,34,21,19,263181
3723,32,26,23,1194121
3275,40,8,6,92125
2669,29,5,10,110092
3619,51,11,12,16000
3222,62,27,17,104148
4461,55,1,27,113164
3200,36,17,18,175000
3208,62,24,17,89888
2779,50,26,16,144534
4103,45,20,8,79267
3064,33,8,32,210750
4569,65,10,22,35535
4762,68,10,10,21482
4658,68,11,16,71294
4745,27,6,17,87534
3311,52,1,26,14000
2838,54,9,32,91871
4221,52,14,26,46861
3866,49,24,12,80944
2594,68,2,22,84036
3616,30,22,15,37000
4688,32,19,17,150017
4897,55,8,7,105776
2892,46,5,13,466367
2893,48,18,6,82764
3397,37,30,21,25000
3267,37,24,22,97367
3692,57,15,0,26638
3995,49,24,22,22078
3885,34,8,22,18000
3498,33,3,9,214875
3390,44,23,17,88609
3425,59,19,17,16450
4075,57,5,2,70000
4033,70,8,15,140632
3592,33,16,12,28425
4502,66,2,23,23271
4178,38,4,32,28739
3853,35,15,28,19791
3859,51,12,3,41965
4889,40,7,23,66496
2689,48,22,23,70936
4898,27,8,8,95578
2969,50,24,32,103481
4181,32,0,23,16317
3510,39,18,29,121682
2660,62,12,8,24800
4002,51,25,13,21482
3504,54,20,0,62000
2763,50,28,23,103796
4970,31,9,12,131870
2686,55,19,10,18523
3161,41,6,1,94521
4349,55,13,8,91871
4023,36,13,0,129249
2849,41,30,28,23649
4367,62,31,32,51064
2902,43,26,32,89494
4107,34,4,16,566000
2557,56,10,27,102437
4421,41,8,0,81983
4497,26,14,16,32000
4465,27,3,4,79693
2941,38,6,23,122323
3611,40,23,23,22567
3509,65,15,23,113390
2548,58,6,3,167028
3924,55,20,20,21862
4213,65,28,8,20073
2909,35,1,0,22100
3969,55,28,16,65069
3925,64,2,27,322133
3419,44,25,32,86478
